side	text	href	target
local	+48 728 805 628	tel:+48728805628	
local	margaritabar.pl@gmail.com	mailto:margaritabar.pl@gmail.com	
local	Instagram	https://www.instagram.com/margariteros.bar?igsh=NnZoNXN0Y3M5cTNx	_blank
local	TikTok	https://www.tiktok.com/@margariteros.bar?_t=ZN-8xnyI1pprok&_r=1	_blank
local	Google	https://g.page/r/Cbl9JpsyGsLTEBM/review	_blank
local	TripAdvisor	https://www.tripadvisor.com/Restaurant_Review-g274856-d33238464-Reviews-Margariteros-Warsaw_Mazovia_Province_Central_Poland.html	_blank
local	Facebook	https://www.facebook.com/profile.php?id=61576663994634	_blank
local	Lista alergenów	https://qr.margariteros.bar/allergens	
local	O firmie	https://choiceqr.com/pl	
local	Polityka plików cookie	https://qr.margariteros.bar/cookie-policy	
local	Regulamin	https://qr.margariteros.bar/terms-of-use	
local	Polityka prywatności	https://qr.margariteros.bar/privacy-policy	
